 #
 # Differential cross section:               MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #--------------------------------------------------------------
  0.000E+00  0.00000E+00  5.88005E-15  2.09981E+02  0.00000E+00
  1.500E-02  1.71347E-08  5.87978E-15  2.09971E+02 -9.41976E-07
  1.750E-02  2.33223E-08  5.87968E-15  2.09967E+02 -1.09892E-06
  2.000E-02  3.04617E-08  5.87956E-15  2.09963E+02 -1.25584E-06
  2.250E-02  3.85531E-08  5.87943E-15  2.09958E+02 -1.41273E-06
  2.500E-02  4.75965E-08  5.87929E-15  2.09953E+02 -1.56960E-06
  2.750E-02  5.75917E-08  5.87913E-15  2.09947E+02 -1.72643E-06
  3.000E-02  6.85389E-08  5.87895E-15  2.09941E+02 -1.88322E-06
  3.250E-02  8.04380E-08  5.87876E-15  2.09934E+02 -2.03997E-06
  3.500E-02  9.32891E-08  5.87855E-15  2.09927E+02 -2.19667E-06
  3.750E-02  1.07092E-07  5.87833E-15  2.09919E+02 -2.35333E-06
  4.000E-02  1.21847E-07  5.87810E-15  2.09911E+02 -2.50994E-06
  4.250E-02  1.37554E-07  5.87784E-15  2.09902E+02 -2.66650E-06
  4.500E-02  1.54213E-07  5.87758E-15  2.09892E+02 -2.82299E-06
  4.750E-02  1.71823E-07  5.87730E-15  2.09882E+02 -2.97943E-06
  5.000E-02  1.90386E-07  5.87700E-15  2.09871E+02 -3.13580E-06
  5.250E-02  2.09900E-07  5.87669E-15  2.09860E+02 -3.29210E-06
  5.500E-02  2.30367E-07  5.87636E-15  2.09849E+02 -3.44834E-06
  5.750E-02  2.51785E-07  5.87602E-15  2.09836E+02 -3.60450E-06
  6.000E-02  2.74156E-07  5.87566E-15  2.09824E+02 -3.76058E-06
  6.250E-02  2.97478E-07  5.87529E-15  2.09810E+02 -3.91658E-06
  6.500E-02  3.21752E-07  5.87490E-15  2.09796E+02 -4.07249E-06
  6.750E-02  3.46978E-07  5.87450E-15  2.09782E+02 -4.22832E-06
  7.000E-02  3.73156E-07  5.87408E-15  2.09767E+02 -4.38406E-06
  7.250E-02  4.00286E-07  5.87365E-15  2.09752E+02 -4.53971E-06
  7.500E-02  4.28368E-07  5.87320E-15  2.09736E+02 -4.69525E-06
  7.750E-02  4.57402E-07  5.87274E-15  2.09719E+02 -4.85070E-06
  8.000E-02  4.87388E-07  5.87227E-15  2.09702E+02 -5.00604E-06
  8.250E-02  5.18325E-07  5.87178E-15  2.09685E+02 -5.16128E-06
  8.500E-02  5.50215E-07  5.87127E-15  2.09667E+02 -5.31640E-06
  8.750E-02  5.83057E-07  5.87075E-15  2.09648E+02 -5.47142E-06
  9.000E-02  6.16850E-07  5.87022E-15  2.09629E+02 -5.62631E-06
  9.250E-02  6.51596E-07  5.86967E-15  2.09610E+02 -5.78109E-06
  9.500E-02  6.87293E-07  5.86910E-15  2.09590E+02 -5.93574E-06
  9.750E-02  7.23942E-07  5.86853E-15  2.09569E+02 -6.09027E-06
  1.000E-01  7.61543E-07  5.86793E-15  2.09548E+02 -6.24467E-06
  1.250E-01  1.18991E-06  5.86124E-15  2.09309E+02 -7.78085E-06
  1.500E-01  1.71347E-06  5.85316E-15  2.09020E+02 -9.30077E-06
  1.750E-01  2.33223E-06  5.84378E-15  2.08685E+02 -1.08015E-05
  2.000E-01  3.04617E-06  5.83316E-15  2.08306E+02 -1.22804E-05
  2.250E-01  3.85531E-06  5.82138E-15  2.07885E+02 -1.37350E-05
  2.500E-01  4.75964E-06  5.80853E-15  2.07426E+02 -1.51630E-05
  2.750E-01  5.75916E-06  5.79471E-15  2.06933E+02 -1.65625E-05
  3.000E-01  6.85388E-06  5.78001E-15  2.06408E+02 -1.79317E-05
  3.250E-01  8.04378E-06  5.76452E-15  2.05855E+02 -1.92692E-05
  3.500E-01  9.32888E-06  5.74836E-15  2.05278E+02 -2.05738E-05
  3.750E-01  1.07092E-05  5.73161E-15  2.04679E+02 -2.18446E-05
  4.000E-01  1.21846E-05  5.71436E-15  2.04064E+02 -2.30810E-05
  4.250E-01  1.37553E-05  5.69672E-15  2.03434E+02 -2.42826E-05
  4.500E-01  1.54212E-05  5.67877E-15  2.02793E+02 -2.54492E-05
  4.750E-01  1.71822E-05  5.66059E-15  2.02143E+02 -2.65809E-05
  5.000E-01  1.90385E-05  5.64226E-15  2.01489E+02 -2.76778E-05
  5.250E-01  2.09899E-05  5.62384E-15  2.00831E+02 -2.87405E-05
  5.500E-01  2.30365E-05  5.60539E-15  2.00172E+02 -2.97694E-05
  5.750E-01  2.51783E-05  5.58698E-15  1.99515E+02 -3.07650E-05
  6.000E-01  2.74153E-05  5.56864E-15  1.98860E+02 -3.17281E-05
  6.250E-01  2.97475E-05  5.55041E-15  1.98209E+02 -3.26593E-05
  6.500E-01  3.21749E-05  5.53233E-15  1.97563E+02 -3.35592E-05
  6.750E-01  3.46974E-05  5.51442E-15  1.96924E+02 -3.44286E-05
  7.000E-01  3.73152E-05  5.49669E-15  1.96290E+02 -3.52679E-05
  7.250E-01  4.00281E-05  5.47915E-15  1.95664E+02 -3.60776E-05
  7.500E-01  4.28362E-05  5.46181E-15  1.95045E+02 -3.68580E-05
  7.750E-01  4.57395E-05  5.44467E-15  1.94433E+02 -3.76095E-05
  8.000E-01  4.87380E-05  5.42771E-15  1.93827E+02 -3.83321E-05
  8.250E-01  5.18317E-05  5.41094E-15  1.93228E+02 -3.90258E-05
  8.500E-01  5.50205E-05  5.39433E-15  1.92635E+02 -3.96906E-05
  8.750E-01  5.83045E-05  5.37788E-15  1.92048E+02 -4.03260E-05
  9.000E-01  6.16838E-05  5.36157E-15  1.91465E+02 -4.09317E-05
  9.250E-01  6.51582E-05  5.34538E-15  1.90887E+02 -4.15074E-05
  9.500E-01  6.87277E-05  5.32930E-15  1.90313E+02 -4.20523E-05
  9.750E-01  7.23925E-05  5.31330E-15  1.89741E+02 -4.25660E-05
  1.000E+00  7.61524E-05  5.29737E-15  1.89173E+02 -4.30476E-05
  1.100E+00  9.21439E-05  5.23414E-15  1.86915E+02 -4.46412E-05
  1.200E+00  1.09658E-04  5.17127E-15  1.84670E+02 -4.56735E-05
  1.300E+00  1.28695E-04  5.10867E-15  1.82434E+02 -4.61219E-05
  1.400E+00  1.49255E-04  5.04662E-15  1.80218E+02 -4.59853E-05
  1.500E+00  1.71338E-04  4.98554E-15  1.78037E+02 -4.52778E-05
  1.600E+00  1.94942E-04  4.92572E-15  1.75900E+02 -4.40142E-05
  1.700E+00  2.20070E-04  4.86720E-15  1.73811E+02 -4.21971E-05
  1.800E+00  2.46720E-04  4.80981E-15  1.71762E+02 -3.98111E-05
  1.900E+00  2.74892E-04  4.75331E-15  1.69744E+02 -3.68290E-05
