 #  Scattering field.
 #  All quantities in atomic units (a.u.), unless otherwise indicated.
 #  Z =  80, NELEC =  80,   projectile: electron
 #  Kinetic energy = 3.67493E+01 a.u. = 1.00000E+03 eV
 #
 #   i       r           r*V         r*Vst        r*Vex       r*Vpol       r*Wabs        rho_e
 #------------------------------------------------------------------------------------------------
     1  0.00000E+00 -0.00000E+00 -0.00000E+00  0.00000E+00 -0.00000E+00  0.00000E+00  2.41744E+06
    42  7.52473E-05 -6.31450E+01 -6.31444E+01 -6.16507E-04 -5.46073E-06 -2.41807E-03  2.18859E+06
    43  7.79655E-05 -6.47014E+01 -6.47007E+01 -6.43445E-04 -5.65799E-06 -2.50027E-03  2.18017E+06
    44  8.07386E-05 -6.62109E+01 -6.62102E+01 -6.71587E-04 -5.85924E-06 -2.58363E-03  2.17139E+06
    45  8.35679E-05 -6.76669E+01 -6.76662E+01 -7.01040E-04 -6.06456E-06 -2.66813E-03  2.16227E+06
    46  8.64544E-05 -6.90627E+01 -6.90620E+01 -7.31922E-04 -6.27403E-06 -2.75378E-03  2.15280E+06
    47  8.93993E-05 -7.03912E+01 -7.03904E+01 -7.64361E-04 -6.48775E-06 -2.84057E-03  2.14298E+06
    48  9.24038E-05 -7.16451E+01 -7.16443E+01 -7.98502E-04 -6.70579E-06 -2.92848E-03  2.13281E+06
    49  9.54691E-05 -7.28173E+01 -7.28165E+01 -8.34503E-04 -6.92824E-06 -3.01752E-03  2.12230E+06
    50  9.85965E-05 -7.39011E+01 -7.39003E+01 -8.72533E-04 -7.15519E-06 -3.10767E-03  2.11145E+06
    51  1.01787E-04 -7.48904E+01 -7.48895E+01 -9.12773E-04 -7.38673E-06 -3.19892E-03  2.10027E+06
    52  1.05042E-04 -7.57801E+01 -7.57791E+01 -9.55410E-04 -7.62296E-06 -3.29126E-03  2.08876E+06
    53  1.08363E-04 -7.65668E+01 -7.65658E+01 -1.00063E-03 -7.86397E-06 -3.38468E-03  2.07694E+06
    54  1.11751E-04 -7.72495E+01 -7.72484E+01 -1.04862E-03 -8.10985E-06 -3.47918E-03  2.06481E+06
    55  1.15208E-04 -7.78296E+01 -7.78285E+01 -1.09953E-03 -8.36071E-06 -3.57476E-03  2.05239E+06
    56  1.18735E-04 -7.83118E+01 -7.83106E+01 -1.15351E-03 -8.61665E-06 -3.67142E-03  2.03970E+06
    57  1.22333E-04 -7.87033E+01 -7.87020E+01 -1.21065E-03 -8.87777E-06 -3.76915E-03  2.02674E+06
    58  1.26004E-04 -7.90137E+01 -7.90125E+01 -1.27101E-03 -9.14416E-06 -3.86797E-03  2.01354E+06
    59  1.29749E-04 -7.92544E+01 -7.92531E+01 -1.33464E-03 -9.41595E-06 -3.96789E-03  2.00011E+06
    60  1.33570E-04 -7.94371E+01 -7.94356E+01 -1.40153E-03 -9.69324E-06 -4.06894E-03  1.98648E+06
    61  1.37468E-04 -7.95728E+01 -7.95713E+01 -1.47169E-03 -9.97614E-06 -4.17115E-03  1.97266E+06
    62  1.41446E-04 -7.96718E+01 -7.96703E+01 -1.54510E-03 -1.02648E-05 -4.27446E-03  1.95867E+06
    63  1.45503E-04 -7.97427E+01 -7.97411E+01 -1.62177E-03 -1.05592E-05 -4.37897E-03  1.94453E+06
    64  1.49643E-04 -7.97926E+01 -7.97909E+01 -1.70171E-03 -1.08596E-05 -4.48468E-03  1.93026E+06
    65  1.53866E-04 -7.98269E+01 -7.98251E+01 -1.78494E-03 -1.11661E-05 -4.59161E-03  1.91588E+06
    66  1.58175E-04 -7.98501E+01 -7.98482E+01 -1.87151E-03 -1.14788E-05 -4.69978E-03  1.90140E+06
    67  1.62571E-04 -7.98652E+01 -7.98632E+01 -1.96147E-03 -1.17979E-05 -4.80921E-03  1.88683E+06
    68  1.67057E-04 -7.98746E+01 -7.98726E+01 -2.05489E-03 -1.21234E-05 -4.91993E-03  1.87221E+06
    69  1.71632E-04 -7.98801E+01 -7.98779E+01 -2.15184E-03 -1.24554E-05 -5.03195E-03  1.85752E+06
    70  1.76301E-04 -7.98828E+01 -7.98805E+01 -2.25241E-03 -1.27942E-05 -5.14528E-03  1.84280E+06
    71  1.81064E-04 -7.98836E+01 -7.98812E+01 -2.35671E-03 -1.31399E-05 -5.25996E-03  1.82805E+06
    72  1.85923E-04 -7.98831E+01 -7.98806E+01 -2.46484E-03 -1.34925E-05 -5.37600E-03  1.81328E+06
    73  1.90880E-04 -7.98817E+01 -7.98791E+01 -2.57690E-03 -1.38523E-05 -5.49341E-03  1.79850E+06
    74  1.95938E-04 -7.98797E+01 -7.98769E+01 -2.69302E-03 -1.42193E-05 -5.61222E-03  1.78372E+06
    75  2.01099E-04 -7.98772E+01 -7.98744E+01 -2.81333E-03 -1.45938E-05 -5.73245E-03  1.76895E+06
    76  2.06363E-04 -7.98745E+01 -7.98715E+01 -2.93794E-03 -1.49759E-05 -5.85412E-03  1.75420E+06
    77  2.11734E-04 -7.98715E+01 -7.98685E+01 -3.06700E-03 -1.53657E-05 -5.97720E-03  1.73947E+06
    78  2.17214E-04 -7.98684E+01 -7.98652E+01 -3.20065E-03 -1.57633E-05 -6.10177E-03  1.72477E+06
    79  2.22805E-04 -7.98652E+01 -7.98619E+01 -3.33902E-03 -1.61691E-05 -6.22781E-03  1.71010E+06
    80  2.28509E-04 -7.98619E+01 -7.98584E+01 -3.48227E-03 -1.65830E-05 -6.35534E-03  1.69548E+06
    81  2.34328E-04 -7.98585E+01 -7.98548E+01 -3.63055E-03 -1.70053E-05 -6.48439E-03  1.68090E+06
    82  2.40265E-04 -7.98550E+01 -7.98512E+01 -3.78401E-03 -1.74361E-05 -6.61496E-03  1.66637E+06
    83  2.46322E-04 -7.98514E+01 -7.98474E+01 -3.94283E-03 -1.78757E-05 -6.74706E-03  1.65190E+06
    84  2.52502E-04 -7.98477E+01 -7.98436E+01 -4.10716E-03 -1.83242E-05 -6.88071E-03  1.63748E+06
    85  2.58807E-04 -7.98440E+01 -7.98397E+01 -4.27718E-03 -1.87817E-05 -7.01596E-03  1.62312E+06
    86  2.65239E-04 -7.98402E+01 -7.98357E+01 -4.45307E-03 -1.92485E-05 -7.15275E-03  1.60883E+06
    87  2.71801E-04 -7.98363E+01 -7.98317E+01 -4.63500E-03 -1.97247E-05 -7.29114E-03  1.59460E+06
    88  2.78497E-04 -7.98324E+01 -7.98275E+01 -4.82317E-03 -2.02106E-05 -7.43111E-03  1.58044E+06
    89  2.85327E-04 -7.98283E+01 -7.98233E+01 -5.01777E-03 -2.07063E-05 -7.57270E-03  1.56635E+06
    90  2.92296E-04 -7.98242E+01 -7.98190E+01 -5.21900E-03 -2.12121E-05 -7.71589E-03  1.55233E+06
    91  2.99406E-04 -7.98200E+01 -7.98146E+01 -5.42707E-03 -2.17280E-05 -7.86070E-03  1.53839E+06
    92  3.06660E-04 -7.98158E+01 -7.98101E+01 -5.64217E-03 -2.22544E-05 -8.00714E-03  1.52452E+06
    93  3.14060E-04 -7.98114E+01 -7.98055E+01 -5.86454E-03 -2.27915E-05 -8.15519E-03  1.51072E+06
    94  3.21611E-04 -7.98070E+01 -7.98009E+01 -6.09439E-03 -2.33394E-05 -8.30488E-03  1.49701E+06
    95  3.29314E-04 -7.98025E+01 -7.97961E+01 -6.33194E-03 -2.38984E-05 -8.45619E-03  1.48337E+06
    96  3.37173E-04 -7.97978E+01 -7.97912E+01 -6.57745E-03 -2.44688E-05 -8.60914E-03  1.46981E+06
    97  3.45191E-04 -7.97931E+01 -7.97863E+01 -6.83114E-03 -2.50506E-05 -8.76371E-03  1.45633E+06
    98  3.53371E-04 -7.97883E+01 -7.97812E+01 -7.09326E-03 -2.56443E-05 -8.91988E-03  1.44293E+06
    99  3.61717E-04 -7.97835E+01 -7.97761E+01 -7.36407E-03 -2.62499E-05 -9.07770E-03  1.42961E+06
   100  3.70231E-04 -7.97785E+01 -7.97708E+01 -7.64384E-03 -2.68678E-05 -9.23709E-03  1.41637E+06
   101  3.78918E-04 -7.97734E+01 -7.97654E+01 -7.93282E-03 -2.74982E-05 -9.39809E-03  1.40321E+06
   102  3.87781E-04 -7.97682E+01 -7.97600E+01 -8.23130E-03 -2.81414E-05 -9.56065E-03  1.39013E+06
   103  3.96822E-04 -7.97629E+01 -7.97544E+01 -8.53956E-03 -2.87976E-05 -9.72476E-03  1.37713E+06
   104  4.06047E-04 -7.97576E+01 -7.97487E+01 -8.85789E-03 -2.94670E-05 -9.89041E-03  1.36421E+06
   105  4.15459E-04 -7.97521E+01 -7.97428E+01 -9.18658E-03 -3.01500E-05 -1.00576E-02  1.35137E+06
   106  4.25061E-04 -7.97465E+01 -7.97369E+01 -9.52596E-03 -3.08468E-05 -1.02262E-02  1.33861E+06
   107  4.34857E-04 -7.97408E+01 -7.97309E+01 -9.87632E-03 -3.15578E-05 -1.03963E-02  1.32593E+06
   108  4.44851E-04 -7.97350E+01 -7.97247E+01 -1.02380E-02 -3.22831E-05 -1.05677E-02  1.31333E+06
   109  4.55048E-04 -7.97290E+01 -7.97184E+01 -1.06113E-02 -3.30230E-05 -1.07406E-02  1.30081E+06
   110  4.65451E-04 -7.97230E+01 -7.97120E+01 -1.09966E-02 -3.37780E-05 -1.09147E-02  1.28836E+06
   111  4.76064E-04 -7.97168E+01 -7.97054E+01 -1.13943E-02 -3.45482E-05 -1.10901E-02  1.27600E+06
   112  4.86893E-04 -7.97106E+01 -7.96987E+01 -1.18046E-02 -3.53340E-05 -1.12667E-02  1.26371E+06
   113  4.97940E-04 -7.97042E+01 -7.96919E+01 -1.22280E-02 -3.61357E-05 -1.14444E-02  1.25150E+06
   114  5.09211E-04 -7.96977E+01 -7.96850E+01 -1.26648E-02 -3.69536E-05 -1.16233E-02  1.23937E+06
   115  5.20710E-04 -7.96910E+01 -7.96779E+01 -1.31154E-02 -3.77881E-05 -1.18033E-02  1.22731E+06
   116  5.32441E-04 -7.96842E+01 -7.96706E+01 -1.35802E-02 -3.86395E-05 -1.19843E-02  1.21533E+06
   117  5.44410E-04 -7.96773E+01 -7.96632E+01 -1.40597E-02 -3.95081E-05 -1.21663E-02  1.20342E+06
   118  5.56621E-04 -7.96703E+01 -7.96557E+01 -1.45541E-02 -4.03942E-05 -1.23491E-02  1.19158E+06
   119  5.69079E-04 -7.96631E+01 -7.96480E+01 -1.50640E-02 -4.12983E-05 -1.25327E-02  1.17982E+06
   120  5.81789E-04 -7.96558E+01 -7.96402E+01 -1.55898E-02 -4.22207E-05 -1.27170E-02  1.16814E+06
   121  5.94757E-04 -7.96484E+01 -7.96322E+01 -1.61319E-02 -4.31618E-05 -1.29019E-02  1.15652E+06
   122  6.07986E-04 -7.96408E+01 -7.96240E+01 -1.66908E-02 -4.41218E-05 -1.30873E-02  1.14498E+06
   123  6.21484E-04 -7.96330E+01 -7.96157E+01 -1.72669E-02 -4.51014E-05 -1.32730E-02  1.13350E+06
   124  6.35254E-04 -7.96251E+01 -7.96072E+01 -1.78607E-02 -4.61007E-05 -1.34590E-02  1.12210E+06
   125  6.49303E-04 -7.96171E+01 -7.95986E+01 -1.84728E-02 -4.71202E-05 -1.36450E-02  1.11077E+06
